Rank	Country	Population (2024)	Land Area (Km²)	Density (P/Km²)
158	Mauritius	1,271,169	2,030	626
159	Eswatini	1,242,822	17,200	72
160	Djibouti	1,168,722	23,180	50
161	Fiji	928,784	18,270	51
162	Réunion	878,591	2,500	351
163	Comoros	866,628	1,861	466
164	Guyana	831,087	196,850	4
165	Solomon Islands	819,198	27,990	29
166	Bhutan	791,524	38,117	21
167	Macao	720,262	30	24,009
168	Luxembourg	673,036	2,590	260
169	Montenegro	638,479	13,450	47
170	Suriname	634,431	156,000	4
171	Western Sahara	590,506	266,000	2
172	Malta	539,607	320	1,686
173	Maldives	527,799	300	1,759
174	Micronesia	526,923	700	753
175	Cabo Verde	524,877	4,030	130
176	Brunei	462,721	5,270	88
177	Belize	417,072	22,810	18
178	Bahamas	401,283	10,010	40
179	Iceland	393,396	100,250	4
180	Guadeloupe	375,106	1,690	222
181	Martinique	343,195	1,060	324
182	Vanuatu	327,777	12,190	27
183	Mayotte	326,505	375	871
184	French Guiana	308,522	82,200	4
185	New Caledonia	292,639	18,280	16
186	Barbados	282,467	430	657
187	French Polynesia	281,807	3,660	77
188	Sao Tome & Principe	235,536	960	245
189	Samoa	218,019	2,830	77
190	Curaçao	185,482	444	418
191	Saint Lucia	179,744	610	295
192	Guam	167,777	540	311
193	Kiribati	134,518	810	166
194	Seychelles	130,418	460	284
195	Grenada	117,207	340	345
196	Aruba	108,066	180	600
197	Tonga	104,175	720	145
198	St. Vincent & Grenadines	100,616	390	258
199	Antigua and Barbuda	93,772	440	213
200	U.S. Virgin Islands	84,905	350	243
201	Isle of Man	84,160	570	148
202	Andorra	81,938	470	174
203	Cayman Islands	74,457	240	310
204	Dominica	66,205	750	88
205	Bermuda	64,636	50	1,293
206	Greenland	55,840	410,450	0
207	Faeroe Islands	55,400	1,396	40
208	Saint Kitts & Nevis	46,843	260	180
209	American Samoa	46,765	200	234
210	Turks and Caicos	46,535	950	49
211	Northern Mariana Islands	44,278	460	96
212	Sint Maarten	43,350	34	1,275
213	Liechtenstein	39,870	160	249
214	British Virgin Islands	39,471	150	263
215	Gibraltar	39,329	10	3,933
216	Monaco	38,631	1	25,927
217	Marshall Islands	37,548	180	209
218	San Marino	33,581	60	560
219	Caribbean Netherlands	30,675	328	94
220	Saint Martin	26,129	53	493
221	Palau	17,695	460	38
222	Anguilla	14,598	90	162
223	Cook Islands	13,729	240	57
224	Nauru	11,947	20	597
225	Wallis & Futuna	11,277	140	81
226	Saint Barthelemy	11,258	21	536
227	Tuvalu	9,646	30	322
228	Saint Pierre & Miquelon	5,628	230	24
229	Saint Helena	5,237	390	13
230	Montserrat	4,389	100	44
231	Falkland Islands	3,470	12,170	0
232	Tokelau	2,506	10	251
233	Niue	1,819	260	7
234	Holy See	496	0	1,240
